product_id,buy_summary_id,sell_summary_id,quick_status_id
BROWN_MUSHROOM,BROWN_MUSHROOM_B,BROWN_MUSHROOM_S,BROWN_MUSHROOM_Q
INK_SACK:3,INK_SACK:3_B,INK_SACK:3_S,INK_SACK:3_Q
INK_SACK:4,INK_SACK:4_B,INK_SACK:4_S,INK_SACK:4_Q
TARANTULA_WEB,TARANTULA_WEB_B,TARANTULA_WEB_S,TARANTULA_WEB_Q
CARROT_ITEM,CARROT_ITEM_B,CARROT_ITEM_S,CARROT_ITEM_Q
ENCHANTED_POTATO,ENCHANTED_POTATO_B,ENCHANTED_POTATO_S,ENCHANTED_POTATO_Q
ENCHANTED_SLIME_BALL,ENCHANTED_SLIME_BALL_B,ENCHANTED_SLIME_BALL_S,ENCHANTED_SLIME_BALL_Q
ENCHANTED_RED_MUSHROOM,ENCHANTED_RED_MUSHROOM_B,ENCHANTED_RED_MUSHROOM_S,ENCHANTED_RED_MUSHROOM_Q
ENCHANTED_GOLDEN_CARROT,ENCHANTED_GOLDEN_CARROT_B,ENCHANTED_GOLDEN_CARROT_S,ENCHANTED_GOLDEN_CARROT_Q
ENCHANTED_RABBIT_HIDE,ENCHANTED_RABBIT_HIDE_B,ENCHANTED_RABBIT_HIDE_S,ENCHANTED_RABBIT_HIDE_Q
ENCHANTED_BIRCH_LOG,ENCHANTED_BIRCH_LOG_B,ENCHANTED_BIRCH_LOG_S,ENCHANTED_BIRCH_LOG_Q
ENCHANTED_GUNPOWDER,ENCHANTED_GUNPOWDER_B,ENCHANTED_GUNPOWDER_S,ENCHANTED_GUNPOWDER_Q
ENCHANTED_MELON,ENCHANTED_MELON_B,ENCHANTED_MELON_S,ENCHANTED_MELON_Q
ENCHANTED_SUGAR,ENCHANTED_SUGAR_B,ENCHANTED_SUGAR_S,ENCHANTED_SUGAR_Q
CACTUS,CACTUS_B,CACTUS_S,CACTUS_Q
ENCHANTED_BLAZE_ROD,ENCHANTED_BLAZE_ROD_B,ENCHANTED_BLAZE_ROD_S,ENCHANTED_BLAZE_ROD_Q
ENCHANTED_CAKE,ENCHANTED_CAKE_B,ENCHANTED_CAKE_S,ENCHANTED_CAKE_Q
PUMPKIN,PUMPKIN_B,PUMPKIN_S,PUMPKIN_Q
ENCHANTED_BROWN_MUSHROOM,ENCHANTED_BROWN_MUSHROOM_B,ENCHANTED_BROWN_MUSHROOM_S,ENCHANTED_BROWN_MUSHROOM_Q
WHEAT,WHEAT_B,WHEAT_S,WHEAT_Q
ENCHANTED_RAW_SALMON,ENCHANTED_RAW_SALMON_B,ENCHANTED_RAW_SALMON_S,ENCHANTED_RAW_SALMON_Q
ENCHANTED_GLISTERING_MELON,ENCHANTED_GLISTERING_MELON_B,ENCHANTED_GLISTERING_MELON_S,ENCHANTED_GLISTERING_MELON_Q
PRISMARINE_SHARD,PRISMARINE_SHARD_B,PRISMARINE_SHARD_S,PRISMARINE_SHARD_Q
PROTECTOR_FRAGMENT,PROTECTOR_FRAGMENT_B,PROTECTOR_FRAGMENT_S,PROTECTOR_FRAGMENT_Q
ENCHANTED_EMERALD,ENCHANTED_EMERALD_B,ENCHANTED_EMERALD_S,ENCHANTED_EMERALD_Q
ENCHANTED_SPIDER_EYE,ENCHANTED_SPIDER_EYE_B,ENCHANTED_SPIDER_EYE_S,ENCHANTED_SPIDER_EYE_Q
RED_MUSHROOM,RED_MUSHROOM_B,RED_MUSHROOM_S,RED_MUSHROOM_Q
ENCHANTED_MELON_BLOCK,ENCHANTED_MELON_BLOCK_B,ENCHANTED_MELON_BLOCK_S,ENCHANTED_MELON_BLOCK_Q
MUTTON,MUTTON_B,MUTTON_S,MUTTON_Q
WISE_FRAGMENT,WISE_FRAGMENT_B,WISE_FRAGMENT_S,WISE_FRAGMENT_Q
DIAMOND,DIAMOND_B,DIAMOND_S,DIAMOND_Q
COBBLESTONE,COBBLESTONE_B,COBBLESTONE_S,COBBLESTONE_Q
SPIDER_EYE,SPIDER_EYE_B,SPIDER_EYE_S,SPIDER_EYE_Q
RAW_FISH,RAW_FISH_B,RAW_FISH_S,RAW_FISH_Q
ENCHANTED_PUFFERFISH,ENCHANTED_PUFFERFISH_B,ENCHANTED_PUFFERFISH_S,ENCHANTED_PUFFERFISH_Q
POTATO_ITEM,POTATO_ITEM_B,POTATO_ITEM_S,POTATO_ITEM_Q
ENCHANTED_HUGE_MUSHROOM_1,ENCHANTED_HUGE_MUSHROOM_1_B,ENCHANTED_HUGE_MUSHROOM_1_S,ENCHANTED_HUGE_MUSHROOM_1_Q
ENCHANTED_COBBLESTONE,ENCHANTED_COBBLESTONE_B,ENCHANTED_COBBLESTONE_S,ENCHANTED_COBBLESTONE_Q
ENCHANTED_HUGE_MUSHROOM_2,ENCHANTED_HUGE_MUSHROOM_2_B,ENCHANTED_HUGE_MUSHROOM_2_S,ENCHANTED_HUGE_MUSHROOM_2_Q
PORK,PORK_B,PORK_S,PORK_Q
PRISMARINE_CRYSTALS,PRISMARINE_CRYSTALS_B,PRISMARINE_CRYSTALS_S,PRISMARINE_CRYSTALS_Q
ICE,ICE_B,ICE_S,ICE_Q
HUGE_MUSHROOM_1,HUGE_MUSHROOM_1_B,HUGE_MUSHROOM_1_S,HUGE_MUSHROOM_1_Q
HUGE_MUSHROOM_2,HUGE_MUSHROOM_2_B,HUGE_MUSHROOM_2_S,HUGE_MUSHROOM_2_Q
ICE_BAIT,ICE_BAIT_B,ICE_BAIT_S,ICE_BAIT_Q
LOG_2:1,LOG_2:1_B,LOG_2:1_S,LOG_2:1_Q
ENCHANTED_SNOW_BLOCK,ENCHANTED_SNOW_BLOCK_B,ENCHANTED_SNOW_BLOCK_S,ENCHANTED_SNOW_BLOCK_Q
STRING,STRING_B,STRING_S,STRING_Q
GOLDEN_TOOTH,GOLDEN_TOOTH_B,GOLDEN_TOOTH_S,GOLDEN_TOOTH_Q
