product_id,amount,pricePerUnit,orders
BROWN_MUSHROOM,814,16.0,1
BROWN_MUSHROOM,1422,16.1,2
BROWN_MUSHROOM,1664,16.2,2
BROWN_MUSHROOM,201,16.3,1
BROWN_MUSHROOM,27,16.4,1
BROWN_MUSHROOM,640,16.5,1
BROWN_MUSHROOM,55239,17.4,5
BROWN_MUSHROOM,32,17.6,1
BROWN_MUSHROOM,67440,19.0,4
BROWN_MUSHROOM,2108,19.5,2
BROWN_MUSHROOM,320,19.6,1
BROWN_MUSHROOM,48825,20.0,12
BROWN_MUSHROOM,21504,20.6,12
BROWN_MUSHROOM,640,20.7,1
BROWN_MUSHROOM,640,21.0,1
BROWN_MUSHROOM,799,21.1,1
BROWN_MUSHROOM,14635,21.2,8
BROWN_MUSHROOM,3328,21.3,4
BROWN_MUSHROOM,6752,22.0,2
BROWN_MUSHROOM,64,24.0,1
BROWN_MUSHROOM,1,30.0,11
BROWN_MUSHROOM,1664,50000.0,2
BROWN_MUSHROOM,16,100000.0,3
BROWN_MUSHROOM,32000,123123.0,2
INK_SACK:3,50483,4.7,3
INK_SACK:3,3781,4.8,2
INK_SACK:3,96627,4.9,7
INK_SACK:3,16168,5.2,5
INK_SACK:3,36616,5.3,1
INK_SACK:3,50640,5.4,4
INK_SACK:3,22300,5.5,8
INK_SACK:3,640,5.9,2
INK_SACK:3,924,6.0,7
INK_SACK:3,576,6.1,3
INK_SACK:3,15416,6.2,1
INK_SACK:3,67616,6.4,4
INK_SACK:3,70000,6.8,2
INK_SACK:3,70000,6.9,2
INK_SACK:3,70000,7.0,4
INK_SACK:3,115139,7.1,7
INK_SACK:3,70640,7.2,3
INK_SACK:3,640,7.5,1
INK_SACK:3,640,8.2,1
INK_SACK:3,77667,8.5,2
INK_SACK:3,71680,8.7,3
INK_SACK:3,45545,9.0,1
INK_SACK:3,69108,9.4,4
INK_SACK:3,187,10.0,4
INK_SACK:3,1439,33.8,7
INK_SACK:3,640,33.9,2
INK_SACK:3,681,40.0,1
INK_SACK:3,916,1000.0,2
INK_SACK:3,530,10000.0,1
INK_SACK:4,535456,4.6,14
INK_SACK:4,42448,4.7,2
INK_SACK:4,62189,4.9,2
INK_SACK:4,239804,5.0,15
INK_SACK:4,73792,5.1,3
INK_SACK:4,3270,5.2,3
INK_SACK:4,65136,5.5,6
INK_SACK:4,20542,5.8,1
INK_SACK:4,65499,5.9,1
INK_SACK:4,47686,6.0,8
INK_SACK:4,896,6.1,4
INK_SACK:4,44487,6.2,2
INK_SACK:4,1856,6.5,1
INK_SACK:4,1856,6.9,2
INK_SACK:4,10644,7.2,2
INK_SACK:4,1701,7.4,1
INK_SACK:4,720,9.0,3
INK_SACK:4,64,20.0,4
INK_SACK:4,100,100.0,5
INK_SACK:4,5008,1000.0,7
INK_SACK:4,1160,1160.0,1
INK_SACK:4,1248,1242.0,1
INK_SACK:4,64,3000.0,4
INK_SACK:4,1,100000000.0,3
TARANTULA_WEB,1236,5.0,2
TARANTULA_WEB,1216,5.1,1
TARANTULA_WEB,500,5.2,1
TARANTULA_WEB,1216,5.3,1
TARANTULA_WEB,349,5.4,1
TARANTULA_WEB,1684,5.6,2
TARANTULA_WEB,1216,5.7,1
TARANTULA_WEB,1216,5.8,1
TARANTULA_WEB,384,5.9,1
TARANTULA_WEB,64411,7.0,3
TARANTULA_WEB,50000,7.2,2
TARANTULA_WEB,48434,7.3,4
TARANTULA_WEB,1920,7.4,3
TARANTULA_WEB,25396,8.0,17
TARANTULA_WEB,136160,8.2,3
TARANTULA_WEB,3402,9.0,5
TARANTULA_WEB,194955,9.7,3
TARANTULA_WEB,15000,9.8,2
TARANTULA_WEB,6860,10.0,17
TARANTULA_WEB,64,10.2,1
TARANTULA_WEB,31998,10.5,1
TARANTULA_WEB,704,10.6,1
TARANTULA_WEB,2112,10.7,1
TARANTULA_WEB,2112,10.8,1
TARANTULA_WEB,18317,10.9,2
TARANTULA_WEB,1728,11.0,1
TARANTULA_WEB,2104,11.1,1
TARANTULA_WEB,1744,11.2,1
TARANTULA_WEB,15000,11.4,2
TARANTULA_WEB,34023,11.8,2
CARROT_ITEM,49295,3.7,2
CARROT_ITEM,37025,3.8,4
CARROT_ITEM,28723,3.9,1
CARROT_ITEM,63299,4.0,3
CARROT_ITEM,79211,4.1,2
CARROT_ITEM,18427,4.2,7
CARROT_ITEM,74328,4.3,5
CARROT_ITEM,54480,4.4,4
CARROT_ITEM,511146,4.5,17
CARROT_ITEM,77435,4.6,45
CARROT_ITEM,1377,4.7,23
CARROT_ITEM,1931,5.0,48
CARROT_ITEM,1,5.1,3
CARROT_ITEM,1152,5.2,11
CARROT_ITEM,9022,5.5,12
CARROT_ITEM,960,5.6,1
CARROT_ITEM,2624,6.0,9
CARROT_ITEM,160,6.5,1
CARROT_ITEM,255,7.0,1
CARROT_ITEM,64,7.1,1
CARROT_ITEM,2,8.0,1
CARROT_ITEM,3136,10.0,11
CARROT_ITEM,1268,25.0,2
CARROT_ITEM,8208,37.0,1
CARROT_ITEM,1024,123.0,1
CARROT_ITEM,579,299.0,1
CARROT_ITEM,438,438.0,1
CARROT_ITEM,704,100000.0,5
CARROT_ITEM,74,1000000.0,3
ENCHANTED_POTATO,160,452.7,1
ENCHANTED_POTATO,167,452.8,1
ENCHANTED_POTATO,160,452.9,1
ENCHANTED_POTATO,480,453.0,1
ENCHANTED_POTATO,955,456.8,1
ENCHANTED_POTATO,721,457.0,1
ENCHANTED_POTATO,1280,457.1,1
ENCHANTED_POTATO,830,457.2,1
ENCHANTED_POTATO,496,457.7,1
ENCHANTED_POTATO,94,458.0,1
ENCHANTED_POTATO,375,458.1,2
ENCHANTED_POTATO,65,458.4,1
ENCHANTED_POTATO,566,458.7,1
ENCHANTED_POTATO,677,459.8,1
ENCHANTED_POTATO,41,460.8,1
ENCHANTED_POTATO,381,461.3,1
ENCHANTED_POTATO,195,461.9,2
ENCHANTED_POTATO,74,462.1,1
ENCHANTED_POTATO,256,462.4,1
ENCHANTED_POTATO,78,462.8,1
ENCHANTED_POTATO,13,462.9,1
ENCHANTED_POTATO,4,463.5,1
ENCHANTED_POTATO,192,463.6,1
ENCHANTED_POTATO,127,464.9,1
ENCHANTED_POTATO,157,465.0,1
ENCHANTED_POTATO,1,465.3,1
ENCHANTED_POTATO,105,465.8,1
ENCHANTED_POTATO,105,467.5,1
ENCHANTED_POTATO,125,468.4,1
ENCHANTED_POTATO,94,469.0,1
ENCHANTED_SLIME_BALL,28,1341.0,1
ENCHANTED_SLIME_BALL,65,1341.1,1
ENCHANTED_SLIME_BALL,58,1358.4,1
ENCHANTED_SLIME_BALL,87,1358.8,1
ENCHANTED_SLIME_BALL,53,1378.1,1
ENCHANTED_SLIME_BALL,61,1399.2,1
ENCHANTED_SLIME_BALL,1703,1399.4,1
ENCHANTED_SLIME_BALL,1920,1399.5,1
ENCHANTED_SLIME_BALL,537,1399.6,1
ENCHANTED_SLIME_BALL,69,1399.7,1
ENCHANTED_SLIME_BALL,115,1399.9,1
ENCHANTED_SLIME_BALL,11218,1400.0,11
ENCHANTED_SLIME_BALL,519,1420.0,1
ENCHANTED_SLIME_BALL,3219,1450.0,13
ENCHANTED_SLIME_BALL,148,1600.0,3
ENCHANTED_RED_MUSHROOM,171,3927.6,1
ENCHANTED_RED_MUSHROOM,41,3927.7,1
ENCHANTED_RED_MUSHROOM,2,3927.8,1
ENCHANTED_RED_MUSHROOM,743,3927.9,1
ENCHANTED_RED_MUSHROOM,9,3928.0,1
ENCHANTED_RED_MUSHROOM,160,3928.2,1
ENCHANTED_RED_MUSHROOM,1,3928.3,1
ENCHANTED_RED_MUSHROOM,362,3928.9,3
ENCHANTED_RED_MUSHROOM,122,3929.2,1
ENCHANTED_RED_MUSHROOM,4,3929.5,1
ENCHANTED_RED_MUSHROOM,1662,3929.8,2
ENCHANTED_RED_MUSHROOM,2176,3929.9,2
ENCHANTED_RED_MUSHROOM,51,3930.0,1
ENCHANTED_RED_MUSHROOM,1374,3930.4,1
ENCHANTED_RED_MUSHROOM,14,3930.8,1
ENCHANTED_RED_MUSHROOM,42,3930.9,1
ENCHANTED_RED_MUSHROOM,114,3931.1,1
ENCHANTED_RED_MUSHROOM,61,3931.4,1
ENCHANTED_RED_MUSHROOM,128,3931.5,1
ENCHANTED_RED_MUSHROOM,48,3931.8,1
ENCHANTED_RED_MUSHROOM,200,3932.0,1
ENCHANTED_RED_MUSHROOM,355,3932.2,1
ENCHANTED_RED_MUSHROOM,6,3932.3,1
ENCHANTED_RED_MUSHROOM,40,3932.5,1
ENCHANTED_RED_MUSHROOM,67,3932.6,1
ENCHANTED_RED_MUSHROOM,47,3933.0,1
ENCHANTED_RED_MUSHROOM,26,3955.6,1
ENCHANTED_RED_MUSHROOM,237,3955.9,2
