product_id,sellPrice,sellVolume,sellMovingWeek,sellOrders,buyPrice,buyVolume,buyMovingWeek,buyOrders
BROWN_MUSHROOM,15.65556093485979,4370415,37941802,164,17.287194827270152,835747,7146517,340
INK_SACK:3,2.6,690455,13695531,22,4.7,2086274,9136802,412
INK_SACK:4,3.875860093093352,4185375,58910834,105,4.6,3123055,32860484,239
TARANTULA_WEB,4.8,636897,19342840,23,6.807593833415046,2792285,8823817,315
CARROT_ITEM,2.672858328999352,2358095,50574411,65,3.7425770469181234,3788678,41551397,301
ENCHANTED_POTATO,404.4298073448585,2111594,4107869,821,455.4273931138858,110018,2433927,216
ENCHANTED_SLIME_BALL,1177.229630395451,379196,323942,336,1393.3289537712894,45161,505850,46
ENCHANTED_RED_MUSHROOM,3709.990318181818,84856,329132,286,3928.1916498316496,72427,506264,374
ENCHANTED_GOLDEN_CARROT,51191.9248277446,166121,26643,53,67913.5,5970,30071,80
ENCHANTED_RABBIT_HIDE,11150.6,10923,40474,44,13983.999,2286,52962,34
ENCHANTED_BIRCH_LOG,836.7938296997121,113301,1026525,180,913.2940251572327,54425,1328516,212
ENCHANTED_GUNPOWDER,2109.6613566739607,180288,533582,308,2388.528584905661,38817,602311,64
ENCHANTED_MELON,170.6703926548154,956848,2289664,142,187.3374162381175,252786,2416442,170
ENCHANTED_SUGAR,394.23517650059847,5047830,8402687,405,424.70518199748966,222856,2286981,422
CACTUS,3.882491036278531,4335033,24140320,84,5.699999999999999,2995511,15453656,225
ENCHANTED_BLAZE_ROD,124138.77114458576,353689,11778,486,338570.8388888889,888,14365,46
ENCHANTED_CAKE,946.5690080605365,335842,4431,200,5790.771794871795,1538,8119,17
PUMPKIN,3.5264663663812303,2484235,34065425,60,4.29859905234039,1398284,12696468,164
ENCHANTED_BROWN_MUSHROOM,2700.0,91843,336360,159,2846.042661230541,69322,481309,311
WHEAT,3.5,513665,78292774,20,4.418459297662511,6006863,23171216,347
ENCHANTED_RAW_SALMON,1577.9907398982589,572805,296477,115,1601.4010600706713,7635,43496,94
ENCHANTED_GLISTERING_MELON,5900.946521508232,90705,22922,360,6699.699999999999,2773,25631,24
PRISMARINE_SHARD,3.215483464346365,1371004,5472716,30,6.920885904219238,695202,2129906,474
PROTECTOR_FRAGMENT,2439.5065414214578,69805,339852,154,2605.6998531571217,25288,261337,177
ENCHANTED_EMERALD,916.7975116265025,777847,1827456,335,961.0833458083833,115838,1189920,175
ENCHANTED_SPIDER_EYE,1185.378653810495,1940649,3100122,225,1274.3406462585033,253566,1140158,490
RED_MUSHROOM,22.40131705937978,4570707,44308767,169,24.378510843964005,315492,8699093,115
ENCHANTED_MELON_BLOCK,25002.31111111111,4020,11698,9,28493.697572078912,1482,13640,28
MUTTON,14.57653453533077,2979605,19218731,115,17.547578037782902,2546343,17282837,532
WISE_FRAGMENT,9700.558945880452,490155,355832,558,11004.089269311064,165212,317603,485
DIAMOND,7.957849660069113,10590252,115910464,255,8.480844605300465,2455497,20922031,483
COBBLESTONE,4.9,1935885,134988694,76,5.894006705783739,2538658,29561687,632
SPIDER_EYE,6.700000000000001,3047789,29312037,71,8.9,641437,4790274,203
RAW_FISH,21.487957877000838,2802395,37376089,91,24.814778164924505,1042303,10827311,218
ENCHANTED_PUFFERFISH,2345.1213623725675,101829,163894,185,2804.5960365853657,5069,157946,21
POTATO_ITEM,2.6,1457241,32780366,38,3.451699228808968,4751943,23549829,251
ENCHANTED_HUGE_MUSHROOM_1,1159.3874546397099,93886,1811,76,3440.5308333333337,2666,1112,23
ENCHANTED_COBBLESTONE,823.6818295005127,2240375,17041977,692,847.5716906005223,737996,9894495,693
ENCHANTED_HUGE_MUSHROOM_2,7616.868514285713,73392,3373,103,28686.678571428572,1340,6187,13
PORK,17.12804182393394,3257594,26119700,148,23.0,3123305,29116296,791
PRISMARINE_CRYSTALS,4.704647925810804,4765444,5487500,97,7.7999310332310925,280763,2261899,97
ICE,4.247386222706603,4039756,71695557,84,5.3869018389018395,3273629,25131817,325
HUGE_MUSHROOM_1,2.092579165014445,1024217,887662,30,3.8,46179,440794,39
HUGE_MUSHROOM_2,26.0,1944553,2902665,71,31.0,210200,721721,143
ICE_BAIT,13.400000000000002,1004948,1663896,49,21.010021786492374,1190667,1382383,556
LOG_2:1,2.536359975441816,4908053,70662399,86,3.0,2480882,14750117,227
